Using device: cuda

Loading language model and tokenizer...
Loading embedding model and tokenizer...
Loading dataset...
Original data size: 36718
Filtered data size: 17148
Total (filtered) data points: 17148
Reference data points (15%): 2572
Training data points (68%): 11644
Validation data points (17%): 2911

Creating training and validation sequences...
Holdout evaluation before iterations:
Prompt:  However , as Hung notes , he " is the only Chinese poet whose influence grew with time " , and his works began to increase in popularity in the ninth century . Early positive comments came from Bai Juyi , who praised the moral sentiments of some of Du Fu 's works ( although he found these in only a
Candidate 1:  few places of the country ), , in which "the poetry becomes more romantic and self-conscious rather than full-fledged poetry". .

The late Nineteenth–First Century of Chinese Literature, China, a very fine century of Chinese poets, was dominated by many Chinese poets ( among them Gao Tengf
Candidate 2:  vague sense ).

The book, The Long History of the Song Hao (1st English 1570), was published by the American American College of Artists in September 1571. The author, who was once president of the United States of America, praised the great work of Du Fu 's successor in Japan as
Candidate 3:  brief period of time ) , as well as general admirers. A number of influential Chinese poets published works like " The Great Chinese Song". Another noteworthy poem for the Chinese poetry of the seventeenth century was " The Golden Song" by Li Ling (or " the Golden Song", Chinese for " golden orchid") ,
Prompt:  In 2000 Boulter had a guest @-@ starring role on the television series The Bill ; he portrayed " Scott Parry " in the episode , " In Safe Hands " . Boulter starred as " Scott " in the play Herons written by Simon Stephens , which was performed in 2001 at the Royal Court
Candidate 1: .  and in 1997 " Herons was featured on the film "The Man with the Dragon Tattoo" , which is credited with promoting the story of Herons''.  In 2002 boulter starring as " Sarah  in the " Sarah - s "  season  was featured in the television miniseries "
Candidate 2:  of Versailles " ". (Sheikh)

In March 2003, Boulter was cast as " Sheik" in the play "Farewell " with " Vadim " " in the role .

He has also starred in the play "The Man Who Died" as both " She
Candidate 3: 

In 1982 He also played an American as Dr. Jack Homan , and in 1985 also played a native American in New York , as well as a Spanish native as   Marjorie " in the musical Herons , and in 1987 he played a native Spanish American in a play He " . He also
Prompt:  He had a recurring role in 2003 on two episodes of The Bill , as character " Connor Price " . In 2004 Boulter landed a role as " Craig " in the episode " Teddy 's Story " of the television series The Long Firm ; he starred alongside actors Mark Strong and Derek Jacobi . Boulter
Candidate 1: 's real name is James Wylie & was born in Chicago, Illinois and moved to New Zealand in 1962. In 1976, Boulter graduated from Southern Illinois University with a degree in political science. He then began his career as an instructor at the University of Maryland. He also worked at the Harvard University Medical School
Candidate 2:  was a cast member on the show during the 1980s.

On October 29th 2000 John Kivira won the first ever Golden Globe for his portrayal of the character of " The Doctor " . He returned for his second outing in 2000 , to play  the Doctor  in a film about The Doctor, starring
Candidate 3:  also worked as The Great British Bake Off's host in 2010, and in 2012, was confirmed as the winner of the ITV soap opera, The Cooked by Chris, which aired on Sky News. Boulter was originally introduced in the episode " The Last Straw " on 4 July 2013.

Boulter
Fine-tuning Model 0 on initial training data...
{'loss': 1.6326, 'grad_norm': 14.249554634094238, 'learning_rate': 1.4000000000000001e-05, 'epoch': 2.16}
{'loss': 1.6128, 'grad_norm': 13.976744651794434, 'learning_rate': 1.3932659932659934e-05, 'epoch': 2.17}
{'loss': 1.5161, 'grad_norm': 13.158578872680664, 'learning_rate': 1.3865319865319865e-05, 'epoch': 2.17}
{'loss': 1.5683, 'grad_norm': 13.395334243774414, 'learning_rate': 1.3797979797979799e-05, 'epoch': 2.17}
{'loss': 1.5395, 'grad_norm': 15.402932167053223, 'learning_rate': 1.373063973063973e-05, 'epoch': 2.18}
{'loss': 1.535, 'grad_norm': 12.486167907714844, 'learning_rate': 1.3663299663299664e-05, 'epoch': 2.18}
{'loss': 1.5456, 'grad_norm': 13.00377368927002, 'learning_rate': 1.3595959595959596e-05, 'epoch': 2.19}
{'loss': 1.5619, 'grad_norm': 13.886568069458008, 'learning_rate': 1.352861952861953e-05, 'epoch': 2.19}
{'loss': 1.5173, 'grad_norm': 15.477823257446289, 'learning_rate': 1.3461279461279461e-05, 'epoch': 2.19}
{'loss': 1.5259, 'grad_norm': 12.047531127929688, 'learning_rate': 1.3393939393939395e-05, 'epoch': 2.2}
{'loss': 1.5363, 'grad_norm': 14.33309555053711, 'learning_rate': 1.3326599326599326e-05, 'epoch': 2.2}
{'loss': 1.5457, 'grad_norm': 14.161091804504395, 'learning_rate': 1.325925925925926e-05, 'epoch': 2.21}
{'loss': 1.5867, 'grad_norm': 13.823667526245117, 'learning_rate': 1.3191919191919192e-05, 'epoch': 2.21}
{'loss': 1.5689, 'grad_norm': 13.421646118164062, 'learning_rate': 1.3124579124579126e-05, 'epoch': 2.21}
{'loss': 1.5548, 'grad_norm': 13.911201477050781, 'learning_rate': 1.3057239057239057e-05, 'epoch': 2.22}
{'loss': 1.4855, 'grad_norm': 14.079474449157715, 'learning_rate': 1.2989898989898991e-05, 'epoch': 2.22}
{'loss': 1.5103, 'grad_norm': 12.956619262695312, 'learning_rate': 1.2922558922558922e-05, 'epoch': 2.23}
{'loss': 1.5369, 'grad_norm': 12.0046968460083, 'learning_rate': 1.2855218855218856e-05, 'epoch': 2.23}
{'loss': 1.5616, 'grad_norm': 15.192082405090332, 'learning_rate': 1.2787878787878787e-05, 'epoch': 2.23}
{'loss': 1.5439, 'grad_norm': 12.6061372756958, 'learning_rate': 1.2720538720538721e-05, 'epoch': 2.24}
{'loss': 1.5263, 'grad_norm': 12.151863098144531, 'learning_rate': 1.2653198653198653e-05, 'epoch': 2.24}
{'loss': 1.4896, 'grad_norm': 12.578685760498047, 'learning_rate': 1.2585858585858587e-05, 'epoch': 2.25}
{'loss': 1.556, 'grad_norm': 12.809048652648926, 'learning_rate': 1.2518518518518518e-05, 'epoch': 2.25}
{'loss': 1.4716, 'grad_norm': 12.932730674743652, 'learning_rate': 1.2451178451178452e-05, 'epoch': 2.25}
{'loss': 1.5417, 'grad_norm': 12.630064010620117, 'learning_rate': 1.2383838383838385e-05, 'epoch': 2.26}
{'loss': 1.4866, 'grad_norm': 13.358227729797363, 'learning_rate': 1.2316498316498317e-05, 'epoch': 2.26}
{'loss': 1.5482, 'grad_norm': 14.262149810791016, 'learning_rate': 1.224915824915825e-05, 'epoch': 2.27}
{'loss': 1.5466, 'grad_norm': 13.5126371383667, 'learning_rate': 1.2181818181818182e-05, 'epoch': 2.27}
{'loss': 1.5361, 'grad_norm': 12.431416511535645, 'learning_rate': 1.2114478114478114e-05, 'epoch': 2.27}
{'loss': 1.4836, 'grad_norm': 13.40503978729248, 'learning_rate': 1.2047138047138047e-05, 'epoch': 2.28}
{'loss': 1.5357, 'grad_norm': 13.019670486450195, 'learning_rate': 1.197979797979798e-05, 'epoch': 2.28}
{'loss': 1.5227, 'grad_norm': 14.786698341369629, 'learning_rate': 1.1912457912457913e-05, 'epoch': 2.29}
{'loss': 1.5465, 'grad_norm': 13.21126937866211, 'learning_rate': 1.1845117845117846e-05, 'epoch': 2.29}
{'loss': 1.5912, 'grad_norm': 13.360969543457031, 'learning_rate': 1.1777777777777778e-05, 'epoch': 2.29}
{'loss': 1.5759, 'grad_norm': 12.70547866821289, 'learning_rate': 1.171043771043771e-05, 'epoch': 2.3}
{'loss': 1.5381, 'grad_norm': 13.861198425292969, 'learning_rate': 1.1643097643097643e-05, 'epoch': 2.3}
{'loss': 1.6131, 'grad_norm': 14.453968048095703, 'learning_rate': 1.1575757575757575e-05, 'epoch': 2.31}
{'loss': 1.5389, 'grad_norm': 11.894272804260254, 'learning_rate': 1.1508417508417508e-05, 'epoch': 2.31}
{'loss': 1.575, 'grad_norm': 14.8427095413208, 'learning_rate': 1.1441077441077442e-05, 'epoch': 2.32}
{'loss': 1.5092, 'grad_norm': 14.173239707946777, 'learning_rate': 1.1373737373737374e-05, 'epoch': 2.32}
{'loss': 1.5721, 'grad_norm': 13.329913139343262, 'learning_rate': 1.1306397306397307e-05, 'epoch': 2.32}
{'loss': 1.5955, 'grad_norm': 12.643579483032227, 'learning_rate': 1.123905723905724e-05, 'epoch': 2.33}
{'loss': 1.5312, 'grad_norm': 13.42702865600586, 'learning_rate': 1.1171717171717172e-05, 'epoch': 2.33}
{'loss': 1.6234, 'grad_norm': 13.799176216125488, 'learning_rate': 1.1104377104377104e-05, 'epoch': 2.34}
{'loss': 1.5712, 'grad_norm': 13.76339054107666, 'learning_rate': 1.1037037037037038e-05, 'epoch': 2.34}
{'loss': 1.5309, 'grad_norm': 13.286685943603516, 'learning_rate': 1.096969696969697e-05, 'epoch': 2.34}
{'loss': 1.5421, 'grad_norm': 13.745672225952148, 'learning_rate': 1.0902356902356903e-05, 'epoch': 2.35}
{'loss': 1.5794, 'grad_norm': 12.337121963500977, 'learning_rate': 1.0835016835016835e-05, 'epoch': 2.35}
{'loss': 1.5502, 'grad_norm': 12.220495223999023, 'learning_rate': 1.0767676767676768e-05, 'epoch': 2.36}
{'loss': 1.5886, 'grad_norm': 11.825956344604492, 'learning_rate': 1.07003367003367e-05, 'epoch': 2.36}
{'loss': 1.5076, 'grad_norm': 12.01689338684082, 'learning_rate': 1.0632996632996633e-05, 'epoch': 2.36}
{'loss': 1.5855, 'grad_norm': 13.718883514404297, 'learning_rate': 1.0565656565656567e-05, 'epoch': 2.37}
{'loss': 1.5838, 'grad_norm': 13.73843765258789, 'learning_rate': 1.04983164983165e-05, 'epoch': 2.37}
{'loss': 1.5568, 'grad_norm': 13.84041690826416, 'learning_rate': 1.0430976430976432e-05, 'epoch': 2.38}
{'loss': 1.509, 'grad_norm': 12.215365409851074, 'learning_rate': 1.0363636363636364e-05, 'epoch': 2.38}
{'loss': 1.5796, 'grad_norm': 13.569347381591797, 'learning_rate': 1.0296296296296296e-05, 'epoch': 2.38}
{'loss': 1.5897, 'grad_norm': 15.010958671569824, 'learning_rate': 1.0228956228956229e-05, 'epoch': 2.39}
{'loss': 1.5472, 'grad_norm': 16.24844741821289, 'learning_rate': 1.0161616161616163e-05, 'epoch': 2.39}
{'loss': 1.6205, 'grad_norm': 12.945793151855469, 'learning_rate': 1.0094276094276095e-05, 'epoch': 2.4}
{'loss': 1.6019, 'grad_norm': 13.188200950622559, 'learning_rate': 1.0026936026936028e-05, 'epoch': 2.4}
{'loss': 1.6031, 'grad_norm': 13.861250877380371, 'learning_rate': 9.95959595959596e-06, 'epoch': 2.4}
{'loss': 1.5403, 'grad_norm': 13.11575698852539, 'learning_rate': 9.892255892255893e-06, 'epoch': 2.41}
{'loss': 1.5465, 'grad_norm': 13.897825241088867, 'learning_rate': 9.824915824915825e-06, 'epoch': 2.41}
{'loss': 1.5623, 'grad_norm': 14.45931339263916, 'learning_rate': 9.75757575757576e-06, 'epoch': 2.42}
{'loss': 1.5735, 'grad_norm': 14.625956535339355, 'learning_rate': 9.690235690235692e-06, 'epoch': 2.42}
{'loss': 1.5931, 'grad_norm': 12.949951171875, 'learning_rate': 9.622895622895624e-06, 'epoch': 2.42}
{'loss': 1.5554, 'grad_norm': 14.190252304077148, 'learning_rate': 9.555555555555556e-06, 'epoch': 2.43}
{'loss': 1.5512, 'grad_norm': 13.385019302368164, 'learning_rate': 9.488215488215489e-06, 'epoch': 2.43}
{'loss': 1.569, 'grad_norm': 12.95474624633789, 'learning_rate': 9.420875420875421e-06, 'epoch': 2.44}
{'loss': 1.4877, 'grad_norm': 11.06722354888916, 'learning_rate': 9.353535353535354e-06, 'epoch': 2.44}
{'loss': 1.586, 'grad_norm': 12.699079513549805, 'learning_rate': 9.286195286195288e-06, 'epoch': 2.44}
{'loss': 1.5498, 'grad_norm': 14.696309089660645, 'learning_rate': 9.21885521885522e-06, 'epoch': 2.45}
{'loss': 1.5862, 'grad_norm': 12.294709205627441, 'learning_rate': 9.151515151515153e-06, 'epoch': 2.45}
{'loss': 1.5261, 'grad_norm': 14.606857299804688, 'learning_rate': 9.084175084175085e-06, 'epoch': 2.46}
{'loss': 1.561, 'grad_norm': 13.296154022216797, 'learning_rate': 9.016835016835016e-06, 'epoch': 2.46}
{'loss': 1.5907, 'grad_norm': 14.718997955322266, 'learning_rate': 8.94949494949495e-06, 'epoch': 2.46}
{'loss': 1.5416, 'grad_norm': 14.24098014831543, 'learning_rate': 8.882154882154882e-06, 'epoch': 2.47}
{'loss': 1.5885, 'grad_norm': 12.829597473144531, 'learning_rate': 8.814814814814815e-06, 'epoch': 2.47}
{'loss': 1.497, 'grad_norm': 15.712921142578125, 'learning_rate': 8.747474747474747e-06, 'epoch': 2.48}
{'loss': 1.6284, 'grad_norm': 12.964043617248535, 'learning_rate': 8.68013468013468e-06, 'epoch': 2.48}
{'loss': 1.5848, 'grad_norm': 14.609371185302734, 'learning_rate': 8.612794612794612e-06, 'epoch': 2.48}
{'loss': 1.5684, 'grad_norm': 12.803311347961426, 'learning_rate': 8.545454545454546e-06, 'epoch': 2.49}
{'loss': 1.4877, 'grad_norm': 13.007010459899902, 'learning_rate': 8.478114478114479e-06, 'epoch': 2.49}
{'loss': 1.5031, 'grad_norm': 13.107368469238281, 'learning_rate': 8.410774410774411e-06, 'epoch': 2.5}
{'loss': 1.5281, 'grad_norm': 12.980399131774902, 'learning_rate': 8.343434343434343e-06, 'epoch': 2.5}
{'loss': 1.5564, 'grad_norm': 12.784876823425293, 'learning_rate': 8.276094276094276e-06, 'epoch': 2.51}
{'loss': 1.4907, 'grad_norm': 13.648900032043457, 'learning_rate': 8.208754208754208e-06, 'epoch': 2.51}
{'loss': 1.5424, 'grad_norm': 12.637567520141602, 'learning_rate': 8.14141414141414e-06, 'epoch': 2.51}
{'loss': 1.556, 'grad_norm': 14.145003318786621, 'learning_rate': 8.074074074074075e-06, 'epoch': 2.52}
{'loss': 1.5439, 'grad_norm': 13.222567558288574, 'learning_rate': 8.006734006734007e-06, 'epoch': 2.52}
{'loss': 1.5361, 'grad_norm': 12.402213096618652, 'learning_rate': 7.93939393939394e-06, 'epoch': 2.53}
{'loss': 1.5702, 'grad_norm': 13.471258163452148, 'learning_rate': 7.872053872053872e-06, 'epoch': 2.53}
{'loss': 1.5492, 'grad_norm': 13.3759765625, 'learning_rate': 7.804713804713805e-06, 'epoch': 2.53}
{'loss': 1.4977, 'grad_norm': 13.268688201904297, 'learning_rate': 7.737373737373737e-06, 'epoch': 2.54}
{'loss': 1.6131, 'grad_norm': 14.407198905944824, 'learning_rate': 7.670033670033671e-06, 'epoch': 2.54}
{'loss': 1.5115, 'grad_norm': 12.715718269348145, 'learning_rate': 7.602693602693603e-06, 'epoch': 2.55}
{'loss': 1.5804, 'grad_norm': 12.277420043945312, 'learning_rate': 7.535353535353536e-06, 'epoch': 2.55}
{'loss': 1.4708, 'grad_norm': 14.970014572143555, 'learning_rate': 7.468013468013468e-06, 'epoch': 2.55}
{'loss': 1.5084, 'grad_norm': 14.7243070602417, 'learning_rate': 7.400673400673401e-06, 'epoch': 2.56}
{'loss': 1.5081, 'grad_norm': 13.443487167358398, 'learning_rate': 7.333333333333334e-06, 'epoch': 2.56}
{'loss': 1.5851, 'grad_norm': 15.132365226745605, 'learning_rate': 7.265993265993266e-06, 'epoch': 2.57}
{'loss': 1.6279, 'grad_norm': 13.61063289642334, 'learning_rate': 7.198653198653199e-06, 'epoch': 2.57}
{'loss': 1.5552, 'grad_norm': 13.30141830444336, 'learning_rate': 7.131313131313132e-06, 'epoch': 2.57}
{'loss': 1.5477, 'grad_norm': 12.668489456176758, 'learning_rate': 7.0639730639730645e-06, 'epoch': 2.58}
{'loss': 1.5683, 'grad_norm': 12.08527660369873, 'learning_rate': 6.996632996632997e-06, 'epoch': 2.58}
{'loss': 1.5818, 'grad_norm': 13.177871704101562, 'learning_rate': 6.92929292929293e-06, 'epoch': 2.59}
{'loss': 1.5344, 'grad_norm': 13.007688522338867, 'learning_rate': 6.861952861952863e-06, 'epoch': 2.59}
{'loss': 1.5265, 'grad_norm': 14.399717330932617, 'learning_rate': 6.794612794612795e-06, 'epoch': 2.59}
{'loss': 1.5269, 'grad_norm': 14.234901428222656, 'learning_rate': 6.727272727272728e-06, 'epoch': 2.6}
{'loss': 1.5466, 'grad_norm': 13.076931953430176, 'learning_rate': 6.659932659932661e-06, 'epoch': 2.6}
{'loss': 1.6171, 'grad_norm': 13.084175109863281, 'learning_rate': 6.592592592592593e-06, 'epoch': 2.61}
{'loss': 1.5519, 'grad_norm': 14.62491512298584, 'learning_rate': 6.525252525252526e-06, 'epoch': 2.61}
{'loss': 1.6305, 'grad_norm': 13.796520233154297, 'learning_rate': 6.457912457912459e-06, 'epoch': 2.61}
{'loss': 1.5754, 'grad_norm': 14.237820625305176, 'learning_rate': 6.390572390572391e-06, 'epoch': 2.62}
{'loss': 1.5145, 'grad_norm': 13.77182388305664, 'learning_rate': 6.323232323232324e-06, 'epoch': 2.62}
{'loss': 1.5774, 'grad_norm': 14.15156364440918, 'learning_rate': 6.255892255892257e-06, 'epoch': 2.63}
{'loss': 1.5392, 'grad_norm': 14.01304817199707, 'learning_rate': 6.1885521885521885e-06, 'epoch': 2.63}
{'loss': 1.5141, 'grad_norm': 15.198823928833008, 'learning_rate': 6.121212121212121e-06, 'epoch': 2.63}
{'loss': 1.5786, 'grad_norm': 14.551785469055176, 'learning_rate': 6.053872053872054e-06, 'epoch': 2.64}
{'loss': 1.5207, 'grad_norm': 13.858739852905273, 'learning_rate': 5.986531986531987e-06, 'epoch': 2.64}
{'loss': 1.5532, 'grad_norm': 14.214801788330078, 'learning_rate': 5.919191919191919e-06, 'epoch': 2.65}
{'loss': 1.5268, 'grad_norm': 12.881807327270508, 'learning_rate': 5.851851851851852e-06, 'epoch': 2.65}
{'loss': 1.5099, 'grad_norm': 14.246551513671875, 'learning_rate': 5.784511784511785e-06, 'epoch': 2.65}
{'loss': 1.5856, 'grad_norm': 13.840994834899902, 'learning_rate': 5.717171717171717e-06, 'epoch': 2.66}
{'loss': 1.5224, 'grad_norm': 14.601632118225098, 'learning_rate': 5.6498316498316504e-06, 'epoch': 2.66}
{'loss': 1.5553, 'grad_norm': 12.216752052307129, 'learning_rate': 5.582491582491583e-06, 'epoch': 2.67}
{'loss': 1.5083, 'grad_norm': 14.226778030395508, 'learning_rate': 5.515151515151515e-06, 'epoch': 2.67}
{'loss': 1.5429, 'grad_norm': 12.953063011169434, 'learning_rate': 5.4478114478114485e-06, 'epoch': 2.67}
{'loss': 1.5555, 'grad_norm': 15.952360153198242, 'learning_rate': 5.380471380471381e-06, 'epoch': 2.68}
{'loss': 1.5979, 'grad_norm': 16.818328857421875, 'learning_rate': 5.313131313131313e-06, 'epoch': 2.68}
{'loss': 1.5311, 'grad_norm': 14.044363021850586, 'learning_rate': 5.245791245791247e-06, 'epoch': 2.69}
{'loss': 1.6092, 'grad_norm': 15.131813049316406, 'learning_rate': 5.178451178451179e-06, 'epoch': 2.69}
{'loss': 1.5, 'grad_norm': 12.512314796447754, 'learning_rate': 5.1111111111111115e-06, 'epoch': 2.69}
{'loss': 1.5183, 'grad_norm': 14.132272720336914, 'learning_rate': 5.043771043771045e-06, 'epoch': 2.7}
{'loss': 1.4676, 'grad_norm': 14.77945327758789, 'learning_rate': 4.976430976430976e-06, 'epoch': 2.7}
{'loss': 1.6104, 'grad_norm': 14.294754981994629, 'learning_rate': 4.909090909090909e-06, 'epoch': 2.71}
{'loss': 1.5401, 'grad_norm': 12.369195938110352, 'learning_rate': 4.841750841750842e-06, 'epoch': 2.71}
{'loss': 1.6016, 'grad_norm': 13.427606582641602, 'learning_rate': 4.7744107744107744e-06, 'epoch': 2.72}
{'loss': 1.6096, 'grad_norm': 13.817404747009277, 'learning_rate': 4.707070707070707e-06, 'epoch': 2.72}
{'loss': 1.5928, 'grad_norm': 13.483160972595215, 'learning_rate': 4.63973063973064e-06, 'epoch': 2.72}
{'loss': 1.5233, 'grad_norm': 12.629880905151367, 'learning_rate': 4.5723905723905726e-06, 'epoch': 2.73}
{'loss': 1.5402, 'grad_norm': 13.933716773986816, 'learning_rate': 4.505050505050505e-06, 'epoch': 2.73}
{'loss': 1.5755, 'grad_norm': 13.818564414978027, 'learning_rate': 4.437710437710438e-06, 'epoch': 2.74}
{'loss': 1.5771, 'grad_norm': 12.766368865966797, 'learning_rate': 4.370370370370371e-06, 'epoch': 2.74}
{'loss': 1.5487, 'grad_norm': 14.1528959274292, 'learning_rate': 4.303030303030303e-06, 'epoch': 2.74}
{'loss': 1.551, 'grad_norm': 14.128620147705078, 'learning_rate': 4.2356902356902355e-06, 'epoch': 2.75}
{'loss': 1.5221, 'grad_norm': 13.239191055297852, 'learning_rate': 4.168350168350169e-06, 'epoch': 2.75}
{'loss': 1.5516, 'grad_norm': 13.208586692810059, 'learning_rate': 4.101010101010101e-06, 'epoch': 2.76}
{'loss': 1.4459, 'grad_norm': 12.534065246582031, 'learning_rate': 4.033670033670034e-06, 'epoch': 2.76}
{'loss': 1.6188, 'grad_norm': 13.075789451599121, 'learning_rate': 3.966329966329967e-06, 'epoch': 2.76}
{'loss': 1.5535, 'grad_norm': 14.336420059204102, 'learning_rate': 3.898989898989899e-06, 'epoch': 2.77}
{'loss': 1.5555, 'grad_norm': 13.169794082641602, 'learning_rate': 3.831649831649832e-06, 'epoch': 2.77}
{'loss': 1.6205, 'grad_norm': 13.443636894226074, 'learning_rate': 3.7643097643097646e-06, 'epoch': 2.78}
{'loss': 1.5218, 'grad_norm': 13.575447082519531, 'learning_rate': 3.6969696969696974e-06, 'epoch': 2.78}
{'loss': 1.4426, 'grad_norm': 13.164406776428223, 'learning_rate': 3.6296296296296302e-06, 'epoch': 2.78}
{'loss': 1.5637, 'grad_norm': 13.533934593200684, 'learning_rate': 3.5622895622895627e-06, 'epoch': 2.79}
{'loss': 1.5403, 'grad_norm': 12.926260948181152, 'learning_rate': 3.4949494949494955e-06, 'epoch': 2.79}
{'loss': 1.5258, 'grad_norm': 14.296175003051758, 'learning_rate': 3.427609427609428e-06, 'epoch': 2.8}
{'loss': 1.5743, 'grad_norm': 12.984256744384766, 'learning_rate': 3.36026936026936e-06, 'epoch': 2.8}
{'loss': 1.4956, 'grad_norm': 13.649870872497559, 'learning_rate': 3.2929292929292928e-06, 'epoch': 2.8}
{'loss': 1.5751, 'grad_norm': 14.395140647888184, 'learning_rate': 3.2255892255892256e-06, 'epoch': 2.81}
{'loss': 1.589, 'grad_norm': 15.17071533203125, 'learning_rate': 3.158249158249158e-06, 'epoch': 2.81}
{'loss': 1.5046, 'grad_norm': 12.445542335510254, 'learning_rate': 3.0909090909090913e-06, 'epoch': 2.82}
{'loss': 1.5892, 'grad_norm': 13.325582504272461, 'learning_rate': 3.0235690235690237e-06, 'epoch': 2.82}
{'loss': 1.5528, 'grad_norm': 14.126250267028809, 'learning_rate': 2.956228956228956e-06, 'epoch': 2.82}
{'loss': 1.5757, 'grad_norm': 13.467543601989746, 'learning_rate': 2.888888888888889e-06, 'epoch': 2.83}
{'loss': 1.5704, 'grad_norm': 12.909581184387207, 'learning_rate': 2.8215488215488214e-06, 'epoch': 2.83}
{'loss': 1.5523, 'grad_norm': 14.27119255065918, 'learning_rate': 2.7542087542087543e-06, 'epoch': 2.84}
{'loss': 1.4728, 'grad_norm': 13.179853439331055, 'learning_rate': 2.686868686868687e-06, 'epoch': 2.84}
{'loss': 1.5325, 'grad_norm': 16.000619888305664, 'learning_rate': 2.6195286195286195e-06, 'epoch': 2.84}
{'loss': 1.6015, 'grad_norm': 15.248364448547363, 'learning_rate': 2.5521885521885524e-06, 'epoch': 2.85}
{'loss': 1.5172, 'grad_norm': 14.06946849822998, 'learning_rate': 2.484848484848485e-06, 'epoch': 2.85}
{'loss': 1.4764, 'grad_norm': 11.757113456726074, 'learning_rate': 2.4175084175084176e-06, 'epoch': 2.86}
{'loss': 1.5497, 'grad_norm': 12.386950492858887, 'learning_rate': 2.3501683501683505e-06, 'epoch': 2.86}
{'loss': 1.612, 'grad_norm': 15.124332427978516, 'learning_rate': 2.282828282828283e-06, 'epoch': 2.86}
{'loss': 1.5753, 'grad_norm': 13.012110710144043, 'learning_rate': 2.2154882154882157e-06, 'epoch': 2.87}
{'loss': 1.5216, 'grad_norm': 13.653251647949219, 'learning_rate': 2.148148148148148e-06, 'epoch': 2.87}
{'loss': 1.5177, 'grad_norm': 13.514907836914062, 'learning_rate': 2.0808080808080806e-06, 'epoch': 2.88}
{'loss': 1.4861, 'grad_norm': 12.538424491882324, 'learning_rate': 2.0134680134680134e-06, 'epoch': 2.88}
{'loss': 1.5301, 'grad_norm': 13.660205841064453, 'learning_rate': 1.9461279461279463e-06, 'epoch': 2.88}
{'loss': 1.5661, 'grad_norm': 14.454453468322754, 'learning_rate': 1.878787878787879e-06, 'epoch': 2.89}
{'loss': 1.5471, 'grad_norm': 13.21907901763916, 'learning_rate': 1.8114478114478115e-06, 'epoch': 2.89}
{'loss': 1.4945, 'grad_norm': 12.04156494140625, 'learning_rate': 1.7441077441077442e-06, 'epoch': 2.9}
{'loss': 1.4519, 'grad_norm': 14.466917991638184, 'learning_rate': 1.6767676767676768e-06, 'epoch': 2.9}
{'loss': 1.5474, 'grad_norm': 13.847269058227539, 'learning_rate': 1.6094276094276096e-06, 'epoch': 2.91}
{'loss': 1.5331, 'grad_norm': 13.369026184082031, 'learning_rate': 1.542087542087542e-06, 'epoch': 2.91}
{'loss': 1.5293, 'grad_norm': 12.711976051330566, 'learning_rate': 1.4747474747474747e-06, 'epoch': 2.91}
{'loss': 1.5445, 'grad_norm': 13.759282112121582, 'learning_rate': 1.4074074074074075e-06, 'epoch': 2.92}
{'loss': 1.5304, 'grad_norm': 13.076664924621582, 'learning_rate': 1.3400673400673402e-06, 'epoch': 2.92}
{'loss': 1.6369, 'grad_norm': 12.847748756408691, 'learning_rate': 1.2727272727272728e-06, 'epoch': 2.93}
{'loss': 1.5781, 'grad_norm': 16.03731918334961, 'learning_rate': 1.2053872053872054e-06, 'epoch': 2.93}
{'loss': 1.5357, 'grad_norm': 13.645694732666016, 'learning_rate': 1.138047138047138e-06, 'epoch': 2.93}
{'loss': 1.494, 'grad_norm': 13.5531644821167, 'learning_rate': 1.0707070707070707e-06, 'epoch': 2.94}
{'loss': 1.5693, 'grad_norm': 15.276501655578613, 'learning_rate': 1.0033670033670033e-06, 'epoch': 2.94}
{'loss': 1.572, 'grad_norm': 13.453451156616211, 'learning_rate': 9.360269360269361e-07, 'epoch': 2.95}
{'loss': 1.4953, 'grad_norm': 13.626612663269043, 'learning_rate': 8.686868686868688e-07, 'epoch': 2.95}
{'loss': 1.5069, 'grad_norm': 12.347269058227539, 'learning_rate': 8.013468013468014e-07, 'epoch': 2.95}
{'loss': 1.5729, 'grad_norm': 14.282434463500977, 'learning_rate': 7.340067340067341e-07, 'epoch': 2.96}
{'loss': 1.5497, 'grad_norm': 14.357925415039062, 'learning_rate': 6.666666666666667e-07, 'epoch': 2.96}
{'loss': 1.5514, 'grad_norm': 14.793036460876465, 'learning_rate': 5.993265993265993e-07, 'epoch': 2.97}
{'loss': 1.5109, 'grad_norm': 11.813082695007324, 'learning_rate': 5.319865319865321e-07, 'epoch': 2.97}
{'loss': 1.5202, 'grad_norm': 14.557745933532715, 'learning_rate': 4.646464646464647e-07, 'epoch': 2.97}
{'loss': 1.5506, 'grad_norm': 16.01703453063965, 'learning_rate': 3.973063973063973e-07, 'epoch': 2.98}
{'loss': 1.5192, 'grad_norm': 15.261548042297363, 'learning_rate': 3.2996632996633e-07, 'epoch': 2.98}
{'loss': 1.5641, 'grad_norm': 12.854763984680176, 'learning_rate': 2.6262626262626266e-07, 'epoch': 2.99}
{'loss': 1.5289, 'grad_norm': 12.168272018432617, 'learning_rate': 1.952861952861953e-07, 'epoch': 2.99}
{'loss': 1.5677, 'grad_norm': 14.07328987121582, 'learning_rate': 1.2794612794612795e-07, 'epoch': 2.99}
{'loss': 1.5874, 'grad_norm': 14.323482513427734, 'learning_rate': 6.060606060606061e-08, 'epoch': 3.0}
